PostID,Date,Platform,ContentType,Impressions,Reach,Likes,Comments,Shares,Clicks,FollowersGain,Caption,Engagement,EngagementRate
41,2025-09-15,TikTok,Reel/Video,3446,2885,138,7,3,94,3,Sample caption for TikTok Reel/Video,148,0.043
42,2025-09-15,Facebook,Static Post,785,719,64,2,1,25,1,Sample caption for Facebook Static Post,67,0.085
43,2025-09-15,TikTok,Carousel,2393,2049,157,12,6,43,8,Sample caption for TikTok Carousel,175,0.073
44,2025-09-16,TikTok,Static Post,2804,2306,229,17,5,15,0,Sample caption for TikTok Static Post,251,0.09
45,2025-09-16,TikTok,Reel/Video,3345,2812,228,7,7,48,1,Sample caption for TikTok Reel/Video,242,0.072
46,2025-09-16,Facebook,Carousel,928,831,87,2,3,17,2,Sample caption for Facebook Carousel,92,0.099
47,2025-09-17,TikTok,Reel/Video,3198,2734,133,5,6,53,3,Sample caption for TikTok Reel/Video,144,0.045
48,2025-09-17,TikTok,Reel/Video,2362,1917,112,10,5,24,5,Sample caption for TikTok Reel/Video,127,0.054
49,2025-09-17,Instagram,Reel/Video,1332,1037,123,3,1,37,3,Sample caption for Instagram Reel/Video,127,0.095
50,2025-09-17,TikTok,Static Post,2280,1385,81,7,4,33,5,Sample caption for TikTok Static Post,92,0.04
51,2025-09-18,Facebook,Carousel,1197,973,99,2,4,29,8,Sample caption for Facebook Carousel,105,0.088
52,2025-09-18,Facebook,Carousel,1115,757,68,5,2,20,3,Sample caption for Facebook Carousel,75,0.067
53,2025-09-18,Instagram,Reel/Video,1730,1423,169,10,6,13,3,Sample caption for Instagram Reel/Video,185,0.107
54,2025-09-19,Facebook,Static Post,809,736,57,3,3,11,2,Sample caption for Facebook Static Post,63,0.078
55,2025-09-19,Instagram,Static Post,972,749,79,5,1,16,3,Sample caption for Instagram Static Post,85,0.087
56,2025-09-20,Instagram,Reel/Video,2019,1396,136,7,1,31,8,Sample caption for Instagram Reel/Video,144,0.071
57,2025-09-20,Instagram,Reel/Video,1316,1014,49,1,0,22,8,Sample caption for Instagram Reel/Video,50,0.038
58,2025-09-20,Instagram,Carousel,1423,1108,87,8,4,6,3,Sample caption for Instagram Carousel,99,0.07
59,2025-09-20,TikTok,Reel/Video,3002,1888,142,10,4,33,8,Sample caption for TikTok Reel/Video,156,0.052
60,2025-09-21,Instagram,Carousel,816,670,68,5,3,11,1,Sample caption for Instagram Carousel,76,0.093
61,2025-09-21,TikTok,Carousel,2695,2236,69,5,2,64,1,Sample caption for TikTok Carousel,76,0.028
62,2025-09-22,Facebook,Reel/Video,1141,867,34,0,1,16,2,Sample caption for Facebook Reel/Video,35,0.031
63,2025-09-22,TikTok,Reel/Video,1977,1517,110,9,3,55,1,Sample caption for TikTok Reel/Video,122,0.062
64,2025-09-22,TikTok,Story,50,41,1,0,0,1,0,Sample caption for TikTok Story,1,0.02
65,2025-09-23,Instagram,Reel/Video,1488,1216,135,13,6,37,1,Sample caption for Instagram Reel/Video,154,0.103
66,2025-09-23,TikTok,Reel/Video,2955,2807,229,16,7,101,0,Sample caption for TikTok Reel/Video,252,0.085
67,2025-09-24,Instagram,Reel/Video,1465,1298,75,7,1,30,0,Sample caption for Instagram Reel/Video,83,0.057
68,2025-09-24,Instagram,Reel/Video,1398,1216,50,4,0,15,8,Sample caption for Instagram Reel/Video,54,0.039
69,2025-09-24,Facebook,Carousel,392,353,28,2,0,9,0,Sample caption for Facebook Carousel,30,0.077
70,2025-09-24,Facebook,Story,541,387,42,1,2,13,2,Sample caption for Facebook Story,45,0.083
71,2025-09-25,Instagram,Static Post,538,392,44,4,2,14,2,Sample caption for Instagram Static Post,50,0.093
72,2025-09-25,TikTok,Carousel,1931,1217,61,2,1,31,8,Sample caption for TikTok Carousel,64,0.033
73,2025-09-26,Facebook,Carousel,592,537,39,2,0,3,8,Sample caption for Facebook Carousel,41,0.069
74,2025-09-26,TikTok,Story,1071,828,63,2,2,33,3,Sample caption for TikTok Story,67,0.063
75,2025-09-27,Facebook,Story,561,513,42,0,0,3,3,Sample caption for Facebook Story,42,0.075
76,2025-09-27,Instagram,Static Post,1020,926,54,3,3,18,8,Sample caption for Instagram Static Post,60,0.059
77,2025-09-27,TikTok,Reel/Video,3444,2134,127,12,6,26,5,Sample caption for TikTok Reel/Video,145,0.042
78,2025-09-28,Instagram,Reel/Video,1273,972,69,2,0,30,0,Sample caption for Instagram Reel/Video,71,0.056
79,2025-09-28,Instagram,Carousel,1752,1073,56,5,0,6,0,Sample caption for Instagram Carousel,61,0.035
80,2025-09-28,Instagram,Reel/Video,1421,1285,79,4,4,48,0,Sample caption for Instagram Reel/Video,87,0.061
81,2025-09-28,Instagram,Static Post,846,778,68,1,2,27,1,Sample caption for Instagram Static Post,71,0.084
82,2025-09-29,TikTok,Carousel,3328,2752,249,16,5,67,1,Sample caption for TikTok Carousel,270,0.081
83,2025-09-29,TikTok,Reel/Video,2238,1351,70,2,2,19,2,Sample caption for TikTok Reel/Video,74,0.033
84,2025-09-29,Instagram,Static Post,1091,963,59,2,2,15,3,Sample caption for Instagram Static Post,63,0.058
85,2025-09-30,Facebook,Carousel,921,640,47,3,0,23,0,Sample caption for Facebook Carousel,50,0.054
86,2025-09-30,Facebook,Story,162,142,5,0,0,5,0,Sample caption for Facebook Story,5,0.031
